code,web_name,full_name,position,team_name,team_short,now_cost_m,age,status,availability,availability_reason,news,seasons_played,total_minutes,total_points,total_goals,total_assists,last_season_points,w_points_per_90,shrunk_points_per_90,age_factor,adjusted_points_per_90,confidence,team_factor,expected_minute_share,projected_minutes,projected_points,points_per_million,naive_points_per_season,selected_by_percent,has_history,starting_xi
154561,Raya,David Raya Martín,GKP,Arsenal,ARS,6.0,30.9,a,1.0,fully available,,5.0,15210.0,700.0,0.0,0.0,162.0,4.1495485327313775,3.893959303214995,0.991,4.7078746767729935,1.0,1.22,0.947,3224.16567,168.65519901682035,28.109199836136725,140.0,35.5,True,True
226597,Gabriel,Gabriel dos Santos Magalhães,DEF,Arsenal,ARS,8.0,28.7,a,1.0,fully available,,5.0,14627.0,767.0,17.0,8.0,209.0,5.185633949380983,4.613149061828324,0.976,5.492968850900221,1.0,1.22,0.8147482456140351,2753.001732,168.02391955944842,21.00298994493105,153.4,29.2,True,True
209036,Guéhi,Marc Guéhi,DEF,Man City,MCI,6.0,26.1,a,1.0,fully available,,5.0,14781.0,579.0,9.0,9.0,179.0,3.8961461546283433,3.646522923429208,1.0,4.044830280551667,1.0,1.1092293577981651,0.8830979532163742,3020.195,135.735290990786,22.622548498464337,115.8,19.3,True,True
244723,Mitchell,Tyrick Mitchell,DEF,Crystal Palace,CRY,4.5,27.0,a,1.0,fully available,,5.0,15537.0,579.0,3.0,16.0,135.0,3.4867576192958585,3.3402720768567846,1.0,3.377545583502651,1.0,1.0111588235294118,0.930825730994152,3183.424,119.46844079573717,26.5485423990527,115.8,6.6,True,True
446008,Mbeumo,Bryan Mbeumo,MID,Man Utd,MUN,8.0,27.0,a,1.0,fully available,,5.0,13793.0,780.0,53.0,35.0,148.0,5.378904212783218,4.989505282904064,1.0,5.07270618130624,1.0,1.0166751799396332,0.7919818713450292,2708.578,152.6646707016677,19.08308383770846,156.0,32.7,True,True
223340,Saka,Bukayo Saka,MID,Arsenal,ARS,9.5,25.0,a,1.0,fully available,,5.0,13025.0,891.0,54.0,54.0,157.0,6.348082645180703,5.650244643395973,1.0,5.892128113874113,1.0,1.0428093800789413,0.6817754385964913,2331.672,152.65011270592314,16.068432916412963,178.2,9.4,True,True
437730,Semenyo,Antoine Semenyo,MID,Man City,MCI,8.5,26.6,a,1.0,fully available,,4.0,8751.0,492.0,37.0,17.0,202.0,5.155454492254445,4.764352179049477,1.0,5.029638210992743,0.959166304662544,1.055681448804272,0.7981554361367211,2729.691591587586,152.54845703638355,17.946877298398064,98.4,26.5,True,True
141746,B.Fernandes,Bruno Borges Fernandes,MID,Man Utd,MUN,12.0,31.9,a,1.0,fully available,,5.0,15627.0,902.0,45.0,61.0,235.0,5.608320682192578,5.199874266459553,0.8740000000000001,4.620473634221189,1.0,1.0166751799396332,0.9020716374269004,2890.724645,148.40574451128785,12.367145375940654,180.4,49.6,True,True
222531,Gibbs-White,Morgan Gibbs-White,MID,Nott'm Forest,NFO,8.0,26.6,a,1.0,fully available,,5.0,12221.0,630.0,32.0,39.0,188.0,4.85855880372975,4.599309331256899,1.0,4.571352535739763,1.0,0.9939215231019272,0.8481263157894736,2900.592,147.32920660384966,18.416150825481207,126.0,12.0,True,True
223094,Haaland,Erling Haaland,FWD,Man City,MCI,15.5,26.1,a,1.0,fully available,,4.0,11009.0,909.0,112.0,28.0,239.0,7.183108471485022,6.58419331849887,1.0,7.055558576874988,0.959166304662544,1.0715904341769211,0.8086011394541802,2765.415896933296,216.7950427803795,13.986776953572871,181.8,69.7,True,True
178301,Watkins,Ollie Watkins,FWD,Aston Villa,AVL,8.0,30.6,a,1.0,fully available,,5.0,14727.0,887.0,77.0,41.0,167.0,5.64546872292497,5.4929342266736265,0.922,5.112954845364398,1.0,1.0095704666821452,0.8383406432748538,2755.307125,156.5306768359533,19.566334604494163,177.4,11.8,True,True
111234,Pickford,Jordan Pickford,GKP,Everton,EVE,5.5,32.5,a,1.0,fully available,,5.0,16740.0,686.0,0.0,2.0,135.0,3.756110520722636,3.5949099651152263,0.97,3.599154623160154,1.0,1.0321450939457204,0.9938421052631576,3347.9558999999995,133.88678839579237,24.34305243559861,137.2,8.3,True,False
437499,Lacroix,Maxence Lacroix,DEF,Chelsea,CHE,6.0,26.4,a,1.0,fully available,,2.0,6201.0,268.0,2.0,4.0,154.0,3.98654699181574,3.534973710167221,1.0,3.6197190062158766,0.7874007874011811,1.0239733879222108,0.7873681484483073,2692.799067693211,108.30195516943895,18.05032586157316,53.6,10.2,True,False
432830,Collins,Nathan Collins,DEF,Brentford,BRE,5.5,25.3,a,1.0,fully available,,5.0,12521.0,444.0,6.0,10.0,129.0,3.3868293558227167,3.2504563168532425,1.0,3.2383071694289485,1.0,0.9962623255813954,0.8336476608187134,2851.075,102.58507347866264,18.651831541575028,88.8,2.0,True,False
475168,João Pedro,João Pedro Junqueira de Jesus,FWD,Chelsea,CHE,7.5,24.9,a,1.0,fully available,,4.0,8275.0,467.0,37.0,19.0,177.0,5.509585658752589,5.341762580710653,1.0,5.453608447794119,0.938083151964686,1.020938007894126,0.6679059648910698,2284.238399927459,138.4149092735568,18.45532123647424,93.4,61.4,True,False
